"filename", "language", "CSS", "JavaScript", "PHP", "Markdown", "YAML", "SCSS", "JSON", "PowerShell", "XML", "HTML", "Ruby", "C++", "C", "Python", "CMake", "Shell Script", "comment", "blank", "total"
"c:\xampp\htdocs\storp\README.md", "Markdown", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 67
"c:\xampp\htdocs\storp\app\Console\Kernel.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 28
"c:\xampp\htdocs\storp\app\Exceptions\Handler.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 31
"c:\xampp\htdocs\storp\app\Http\Controllers\Auth\LoginController.php", "PHP", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 73
"c:\xampp\htdocs\storp\app\Http\Controllers\Auth\RegisterController.php", "PHP", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14, 71
"c:\xampp\htdocs\storp\app\Http\Controllers\Controller.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\xampp\htdocs\storp\app\Http\Controllers\DashboardController.php", "PHP", 0, 0, 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 49, 299
"c:\xampp\htdocs\storp\app\Http\Controllers\DocumentoController.php", "PHP", 0, 0, 709, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 171, 984
"c:\xampp\htdocs\storp\app\Http\Controllers\NotificacionController.php", "PHP", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 38, 196
"c:\xampp\htdocs\storp\app\Http\Kernel.php", "PHP", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 7, 71
"c:\xampp\htdocs\storp\app\Http\Middleware\Authenticate.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 18
"c:\xampp\htdocs\storp\app\Http\Middleware\CheckAdmin.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\xampp\htdocs\storp\app\Http\Middleware\CheckProfesor.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\xampp\htdocs\storp\app\Http\Middleware\EncryptCookies.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
